,0,1,2,3
0,0.0,90.0,10.0,0.0
1,0.03436949481087417,91.0,9.0,0.03436949481087417
2,0.06523528497185715,92.0,8.0,0.030865790160982988
3,0.09558837206235973,93.0,7.0,0.030353087090502582
4,0.17898187707503146,94.0,6.0,0.08339350501267173
5,0.47035924419445485,95.0,5.0,0.29137736711942336
6,0.5723273203166558,96.0,4.0,0.10196807612220092
7,0.6104123244215832,95.0,5.0,0.03808500410492747
8,0.7200684651923076,96.0,4.0,0.10965614077072436
9,0.741706273567175,97.0,3.0,0.02163780837486736
10,0.8689799833820823,96.0,4.0,0.1272737098149073
11,0.9626808383544183,97.0,3.0,0.09370085497233609
12,1.0101281224590022,96.0,4.0,0.04744728410458398
13,1.3938524993356556,97.0,3.0,0.38372437687665334
14,1.913478727371185,98.0,2.0,0.5196262280355296
15,2.415745420006194,99.0,1.0,0.5022666926350089
